# data/codebooks/_/eps_0.0005_M_1024.cbook:
# P=36  size=1024  className='_'
k1,k2,k3
-0.476546,0.539801,-0.0679081
-0.418158,0.338296,-0.0631552
-0.497809,0.509142,-0.0883525
-0.575279,0.643312,0.0657052
-0.517552,0.482363,-0.0372119
-0.461373,0.491182,-0.242237
-0.486519,0.474239,-0.0130532
-0.406529,0.613659,-0.37423
-0.600734,0.573782,0.17578
-0.389733,0.278732,-0.0567394
-0.447491,0.211055,-0.168368
-0.349491,0.233398,-0.14191
-0.425163,0.215124,-0.149751
-0.432951,0.409852,0.0509614
-0.528345,0.546332,0.151693
-0.567764,0.590704,0.118168
-0.589393,0.497734,-0.00728451
-0.537456,0.757484,0.0916878
-0.640028,0.855759,0.212437
-0.573892,0.727212,0.289722
-0.455117,0.569213,-0.0157382
-0.430932,0.580913,-0.0142042
-0.375319,0.59023,-0.0120426
-0.572011,0.711422,0.224457
-0.274026,0.471502,-0.228159
-0.55928,0.723575,0.0657173
-0.384772,0.538476,-0.103436
-0.477602,0.766454,-0.0521325
-0.530999,0.70672,-0.0291912
-0.629,0.567177,0.104592
-0.503153,0.496871,-0.100995
-0.580986,0.761337,0.0745113
-0.45882,0.613977,-0.103947
-0.501921,0.396293,0.0684816
-0.412501,0.28581,-0.187635
-0.549602,0.203131,-0.169762
-0.542466,0.273895,-0.107123
-0.620681,0.554011,-0.0335144
-0.660639,0.662107,0.110627
-0.624386,0.781867,0.248052
-0.646818,0.771183,0.233905
-0.276792,0.257956,-0.139473
-0.290537,0.263331,-0.142429
-0.240551,0.262161,-0.155659
-0.337348,0.346634,-0.0162973
-0.384192,0.302686,-0.0472726
-0.422157,0.351672,0.013537
-0.415966,0.255408,-0.0702717
-0.447805,0.392118,0.00465147
-0.649063,0.820411,0.175971
-0.612197,0.661185,0.180473
-0.647321,0.798399,0.195295
-0.556287,0.55809,0.0967265
-0.495367,0.665082,-0.0992598
-0.558079,0.695328,-0.168438
-0.403287,0.444442,-0.0845327
-0.59683,0.718428,-0.046957
-0.646421,0.723868,0.240036
-0.643654,0.754502,0.34575
-0.6508,0.807644,0.272209
-0.670537,0.334249,-0.0438667
-0.594685,0.606364,0.19048
-0.515083,0.365621,-0.117903
-0.676338,0.887387,0.290716
-0.636252,0.786518,0.0353768
-0.420289,0.270853,-0.112892
-0.206883,0.513363,-0.26811
-0.541162,0.564447,0.0399069
-0.586938,0.624477,0.187542
-0.571635,0.695574,0.233006
-0.590639,0.394311,-0.103268
-0.558153,0.56192,0.188555
-0.643897,0.760483,0.267388
-0.514975,0.422907,-0.036991
-0.396123,0.331429,-0.0266431
-0.553265,0.613338,0.0270859
-0.524092,0.503784,-0.125702
-0.611392,0.673936,0.100199
-0.674996,0.707251,0.141696
-0.349488,0.648275,-0.0812861
-0.369513,0.545389,-0.169094
-0.666533,0.682799,0.0996032
-0.600226,0.540348,0.121553
-0.598179,0.422987,-0.0187347
-0.398058,0.504086,-0.286826
-0.418133,0.671165,-0.0612273
-0.518015,0.44839,0.00135731
-0.487771,0.631554,0.0358943
-0.410807,0.555125,-0.0959221
-0.768393,0.399239,-0.133632
-0.80976,0.376916,-0.171201
-0.372484,0.619787,-0.107601
-0.508648,0.673314,-0.204862
-0.42233,0.227227,-0.0465223
-0.296311,0.447019,-0.138425
-0.674591,0.179853,-0.151584
-0.413642,0.541324,-0.00888223
-0.402355,0.285675,-0.047846
-0.416767,0.198042,-0.184088
-0.465034,0.218673,-0.110987
-0.316149,0.337231,-0.0934275
-0.460121,0.417718,-0.0249013
-0.422335,0.426452,0.0109345
-0.481559,0.576782,0.0121334
-0.445586,0.404881,-0.0203311
-0.574729,0.340128,-0.106324
-0.46493,0.539921,-0.0712067
-0.28094,0.34414,-0.250194
-0.172491,0.320013,-0.391568
-0.496059,0.338085,-0.0534926
-0.519752,0.482895,-0.0788227
-0.439961,0.50419,0.0312676
-0.477525,0.568167,0.0625568
-0.769524,0.515199,0.00618638
-0.384552,0.393176,-0.105804
-0.399289,0.290445,-0.0930592
-0.513342,0.54029,-0.0466898
-0.564387,0.732568,0.133548
-0.521644,0.659096,0.130293
-0.556643,0.630313,0.18455
-0.530009,0.607047,0.0685515
-0.116617,0.253757,-0.13627
-0.0675468,0.409203,-0.0790238
-0.487654,0.607999,-0.0537973
-0.5341,0.554111,0.0532095
-0.426985,0.281235,-0.123289
-0.441885,0.46764,-0.104094
-0.437692,0.428589,-0.123006
-0.459373,0.488918,-0.0579448
-0.387189,0.511053,0.0323045
-0.490524,0.553174,0.0812446
-0.617171,0.764742,0.0676312
-0.524955,0.715953,0.168162
-0.183482,0.331487,-0.106054
-0.266157,0.631665,-0.0304036
-0.472297,0.615886,-0.0562381
-0.471247,0.6452,-0.0592685
-0.591978,0.490847,0.114425
-0.652705,0.714022,0.032179
-0.147522,0.391061,-0.104501
-0.488223,0.593354,0.108192
-0.537398,0.645283,-0.0660295
-0.576562,0.688825,0.0585191
-0.482014,0.539687,0.063584
-0.547437,0.695136,-0.00270538
-0.573599,0.733959,0.0358474
