# data/predictors/_/HBSe_20170128T231621.prd:
# className='', T=77034, P=36
k1,k2,k3
-0.385273,0.435642,-0.40219
-0.394467,0.453284,-0.353514
-0.432475,0.456479,-0.32433
-0.427351,0.387672,-0.312468
-0.477568,0.248693,-0.333887
-0.474263,0.202507,-0.388637
-0.415472,0.223171,-0.342161
-0.374176,0.22959,-0.364065
-0.471206,0.25369,-0.385705
-0.526251,0.343525,-0.365761
-0.505727,0.38413,-0.350009
-0.485151,0.241792,-0.309456
-0.49967,0.149277,-0.273784
-0.500009,0.11822,-0.262401
-0.516698,0.12229,-0.223161
-0.577487,0.155909,-0.238915
-0.636687,0.11139,-0.206311
-0.615786,0.10278,-0.255375
-0.636704,0.0557422,-0.220628
-0.633363,0.103177,-0.211475
-0.612144,0.108005,-0.248559
-0.520023,0.112825,-0.282646
-0.474032,0.170671,-0.214605
-0.418659,0.151318,-0.166684
-0.375485,0.137311,-0.243667
-0.377803,0.153708,-0.251154
-0.38949,0.157159,-0.286408
-0.434175,0.150467,-0.28316
-0.434721,0.203138,-0.329825
-0.436965,0.171139,-0.235025
-0.416861,0.173786,-0.291969
-0.384657,0.135815,-0.29598
-0.371277,0.125649,-0.323079
-0.34431,0.204181,-0.287001
-0.36204,0.177051,-0.204849
-0.396865,0.200929,-0.1706
-0.376983,0.197182,-0.184764
-0.333232,0.190119,-0.174624
-0.261849,0.161781,-0.180062
-0.305985,0.138331,-0.204206
-0.276819,0.230803,-0.121736
-0.289957,0.258751,-0.178201
-0.273768,0.244821,-0.183021
-0.279596,0.212814,-0.130585
-0.227999,0.228726,-0.149452
-0.269164,0.24252,-0.168088
-0.258184,0.240844,-0.127796
-0.208023,0.22876,-0.130487
-0.248395,0.214747,-0.19354
-0.21986,0.224102,-0.16973
-0.238611,0.212892,-0.147446
-0.240309,0.23336,-0.158554
-0.295517,0.250627,-0.0997095
-0.2244,0.265503,-0.212705
-0.22826,0.206052,-0.18477
-0.20289,0.180834,-0.146787
-0.241828,0.150042,-0.14073
-0.176078,0.253991,-0.118517
-0.164955,0.284859,-0.151862
-0.153791,0.235778,-0.197767
-0.191747,0.204615,-0.25781
