index,cardinality,distortion
556,216,0.040908
557,210,0.044034
558,169,0.045509
559,15,0.097343
560,185,0.044534
561,206,0.043440
562,164,0.046370
563,161,0.049857
564,181,0.043940
565,89,0.071581
566,18,0.103339
567,11,0.150402
568,147,0.047841
569,94,0.053837
570,179,0.045809
571,34,0.100761
572,5,0.096501
573,7,0.111418
574,24,0.091997
575,16,0.058884
576,163,0.046540
577,202,0.045639
578,184,0.044049
579,213,0.044220
580,160,0.044804
581,91,0.058191
582,52,0.059762
583,47,0.068031
584,198,0.041205
585,200,0.040599
586,156,0.047027
587,138,0.046053
588,199,0.042583
589,210,0.044796
590,186,0.045811
591,159,0.047478
592,191,0.045598
593,184,0.050050
594,237,0.045015
595,180,0.049022
596,206,0.044917
597,200,0.047327
598,177,0.046317
599,104,0.062318
600,12,0.082724
601,20,0.060017
602,22,0.089892
603,20,0.062895
604,55,0.066265
605,71,0.068276
606,27,0.094827
607,14,0.123588
608,172,0.043132
609,181,0.043406
610,137,0.046951
611,118,0.057369
612,52,0.064118
613,55,0.065248
614,25,0.092488
615,13,0.104730
616,28,0.115107
617,17,0.102556
618,21,0.084047
619,14,0.130259
620,12,0.079438
621,9,0.090386
622,16,0.123104
623,11,0.182011
624,20,0.097289
625,16,0.094123
626,14,0.078500
627,9,0.072399
628,8,0.145219
629,2,0.052481
630,11,0.085836
631,8,0.118085
632,2,0.016616
633,6,0.049272
634,5,0.088495
635,7,0.102324
636,7,0.129386
637,10,0.118164
638,11,0.094409
639,14,0.108409
640,18,0.062097
641,43,0.067867
642,97,0.050977
643,95,0.049049
644,60,0.056278
645,58,0.059136
646,111,0.052788
647,76,0.056983
648,149,0.045517
649,89,0.057306
650,120,0.052275
651,123,0.056634
652,138,0.045910
653,170,0.048391
654,111,0.049427
655,99,0.051474
656,69,0.061120
657,54,0.056011
658,82,0.057942
659,73,0.059922
660,46,0.085581
661,51,0.079220
662,80,0.071845
663,30,0.093073
664,167,0.045504
665,184,0.047363
666,78,0.059912
667,61,0.075581
668,56,0.071574
669,48,0.070532
670,55,0.069089
671,29,0.076598
672,180,0.042435
673,203,0.041777
674,201,0.043551
675,184,0.043133
676,189,0.041956
677,223,0.042108
678,220,0.041728
679,205,0.044565
680,220,0.043330
681,227,0.042756
682,188,0.042039
683,196,0.042963
