# data/codebooks/_/eps_0.0005_M_1024.cbook:
# P=36  size=1024  className='_'
k1,k2,k3
-0.466004,0.32865,-0.259028
-0.419291,0.479614,-0.21176
-0.485568,0.304231,-0.0734094
-0.448146,0.307088,0.0662807
-0.584124,0.602635,0.190202
-0.507996,0.430599,-0.0129074
-0.476218,0.370523,0.0145576
-0.40388,0.385891,-0.153171
-0.547548,0.358591,-0.105444
-0.496914,0.515691,-0.0977762
-0.588177,0.263055,-0.099046
-0.475088,0.304609,-0.157216
-0.603289,0.536544,0.0769812
-0.622787,0.436489,-0.00599449
-0.59871,0.646565,0.0197114
-0.583588,0.25407,-0.225677
-0.539612,0.470986,0.0473986
-0.568781,0.559547,0.175995
-0.554754,0.461076,-0.141383
-0.521623,0.499342,0.0793502
-0.426988,0.304417,-0.186436
-0.471618,0.345085,0.0508356
-0.572862,0.531585,0.277431
-0.601036,0.561092,0.232745
-0.346937,0.231652,0.0779163
-0.42971,0.364127,0.0911139
-0.55736,0.471818,0.0135978
-0.223255,0.279754,-0.248343
-0.297407,0.473353,-0.110601
-0.143367,0.338179,-0.308443
-0.537299,0.44204,-0.0484288
-0.598719,0.56436,-0.0766981
-0.592543,0.509031,0.0170459
-0.584672,0.528629,-0.179866
-0.552543,0.534533,-0.247084
-0.650455,0.632619,0.140348
-0.588939,0.623732,-0.0736397
-0.643084,0.765023,0.278663
-0.545358,0.56937,-0.104588
-0.561508,0.644609,0.111482
-0.540083,0.573484,0.0183855
-0.662904,0.798833,0.212016
-0.674211,0.801773,0.163536
-0.686544,0.854923,0.175538
-0.670579,0.808452,0.217596
-0.683645,0.821788,0.204213
-0.74449,0.22463,-0.0679822
-0.443487,0.431766,-0.0541059
-0.45998,0.40821,0.00868965
-0.390362,0.421618,-0.0523751
-0.570431,0.596672,0.198365
-0.478784,0.315263,0.00975696
-0.473731,0.406939,-0.143376
-0.461797,0.450674,-0.0555563
-0.690696,0.828504,0.167178
-0.697283,0.856676,0.262125
-0.697089,0.76784,0.140525
-0.570249,0.363601,-0.122856
-0.534366,0.363883,-0.186667
-0.658372,0.349749,-0.16721
-0.635447,0.271834,-0.197897
-0.458169,0.335514,-0.186898
-0.734104,0.426647,-0.0577366
-0.743711,0.684125,-0.165088
-0.73256,0.695809,-0.0545172
-0.788901,0.440599,-0.179801
-0.829621,0.134151,-0.137628
-0.757752,0.182369,-0.323945
-0.658472,0.211306,-0.287727
-0.620908,0.331883,-0.280732
-0.751027,0.0754949,-0.254765
-0.797475,0.183325,-0.276063
-0.802057,0.194998,-0.159434
-0.807504,0.212041,-0.307917
-0.793011,0.600328,-0.310604
-0.83768,0.566031,-0.210216
-0.838533,0.546052,-0.19182
-0.844534,0.550667,-0.200132
-0.643516,0.217256,-0.278369
-0.70288,0.335869,0.00234156
-0.718075,0.186065,-0.108265
-0.671244,0.261572,-0.0742144
-0.646024,0.00777383,-0.250538
-0.718716,0.281419,-0.103973
-0.489364,0.209459,-0.279841
-0.499282,0.245871,-0.183525
-0.280035,0.344831,-0.0966131
-0.255885,0.345601,-0.100149
-0.201054,0.398614,-0.101161
-0.280379,0.352728,-0.145735
-0.241115,0.545706,-0.00419897
-0.340854,0.50693,-0.0150752
-0.544521,0.169836,-0.195537
-0.480285,0.335068,-0.248751
-0.283864,0.236344,-0.182016
-0.387649,0.256572,-0.121679
-0.264495,0.227781,-0.212361
-0.476831,0.172538,-0.199069
-0.771332,0.531794,-0.0146684
-0.825991,0.615096,0.122246
-0.72545,0.439333,-0.111378
-0.356539,0.504896,-0.159641
-0.3746,0.250524,-0.153809
-0.530727,0.236181,-0.329953
-0.373281,0.235697,-0.239008
-0.357691,0.28197,-0.136234
-0.235259,0.613101,-0.0991862
-0.404511,0.49355,-0.15684
-0.515738,0.526147,-0.0354828
-0.411094,0.432594,-0.155449
-0.596677,0.158472,-0.267742
-0.599675,0.22102,-0.33246
-0.466321,0.383005,-0.174775
-0.428735,0.420458,-0.167205
-0.270827,0.331266,-0.388405
-0.281103,0.361202,-0.26787
-0.220839,0.374872,-0.130068
-0.502642,0.288461,-0.151608
-0.450431,0.264031,-0.275358
-0.393469,0.291934,-0.208
-0.481127,0.265295,-0.0975143
-0.288817,0.316672,-0.216189
-0.434326,0.333612,-0.222534
-0.492141,0.404389,-0.189459
-0.377223,0.386994,-0.248451
-0.517033,0.234151,-0.292949
-0.161482,0.313397,-0.117346
-0.157979,0.340042,-0.100709
-0.136276,0.323873,-0.122893
-0.124235,0.350098,-0.144062
-0.152315,0.325519,-0.135894
-0.152808,0.324458,-0.127469
-0.17481,0.312955,-0.105731
-0.181194,0.325078,-0.114973
-0.246582,0.294755,-0.126043
-0.259054,0.276474,-0.142182
-0.268866,0.308442,-0.113167
-0.264968,0.292241,-0.145501
-0.228191,0.322035,-0.113325
-0.254921,0.309158,-0.119036
-0.253922,0.319231,-0.0890295
-0.267996,0.319557,-0.113556
-0.137406,0.339262,-0.107357
-0.145748,0.335666,-0.118313
-0.149937,0.320895,-0.109733
-0.149428,0.334942,-0.104073
-0.120275,0.345347,-0.117379
-0.130449,0.337131,-0.114769
-0.12962,0.346216,-0.0967784
-0.133369,0.378123,-0.102169
-0.119349,0.337512,-0.0976674
-0.133963,0.329803,-0.0840794
-0.163909,0.31566,-0.127197
-0.157331,0.334544,-0.115663
